 51 6176.114000 4.974E-27 4.615E-03.04380.046 2023.37150.67-.008613              3              0                    P 32      575663 7 9 5 5 1 8    63.0   65.0
 51 6176.431391 1.505E-31 7.957E-02.06770.074 4297.81020.74-.005701              5              2                    P  4      475663 5 9 5 5 1 8     7.0    9.0
 51 6180.520510 1.229E-31 8.465E-02.07120.077 4282.71160.74-.005293              5              2                    P  3      475663 5 9 5 5 1 8     5.0    7.0
 51 6181.019795 2.403E-28 2.288E-02.05170.055 2866.29750.67-.007887              4              1                    P 19      575663 7 9 5 5 1 8    37.0   39.0
 51 6183.141570 8.825E-27 4.679E-03.04430.047 1901.13080.67-.008564              3              0                    P 31      575663 7 9 5 5 1 8    61.0   63.0
 51 6186.694637 3.271E-28 2.322E-02.05240.056 2794.07430.68-.007818              4              1                    P 18      575663 7 9 5 5 1 8    35.0   37.0
 51 6190.068725 1.536E-26 4.743E-03.04480.047 1782.66240.67-.008513              3              0                    P 30      475663 5 9 5 5 1 8    59.0   61.0
 51 6192.267335 4.358E-28 2.357E-02.05310.057 2725.63610.69-.007745              4              1                    P 17      475663 5 9 5 5 1 8    33.0   35.0
 51 6196.895230 2.620E-26 4.809E-03.04540.048 1667.97090.67-.008462              3              0                    P 29      475663 5 9 5 5 1 8    57.0   59.0
 51 6197.737423 5.681E-28 2.393E-02.05380.058 2660.98550.70-.007668              4              1                    P 16      475663 5 9 5 5 1 8    31.0   33.0
 51 6202.854504 1.395E-31 6.541E-02.07120.077 4271.38710.74-.005409              5              2                    R  2      475663 5 9 5 5 1 8     7.0    5.0
 51 6203.104895 7.242E-28 2.430E-02.05450.059 2600.12490.71-.007586              4              1                    P 15      575663 7 9 5 5 1 8    29.0   31.0
 51 6203.620948 4.386E-26 4.876E-03.04600.049 1557.06070.67-.008411              3              0                    P 28      575663 7 9 5 5 1 8    55.0   57.0
 51 6206.208679 1.782E-31 6.873E-02.06770.074 4282.71160.74-.005520              5              2                    R  3      475663 5 9 5 5 1 8     9.0    7.0
 51 6208.369461 9.024E-28 2.469E-02.05530.059 2543.05670.72-.007497              4              1                    P 14      575663 7 9 5 5 1 8    27.0   29.0
 51 6209.457274 2.095E-31 7.122E-02.06510.071 4297.81020.74-.005620              5              2                    R  4      475663 5 9 5 5 1 8    11.0    9.0
 51 6210.245763 7.199E-26 4.944E-03.04650.049 1449.93590.67-.008358              3              0                    P 27      575663 7 9 5 5 1 8    53.0   55.0
 51 6212.600143 2.322E-31 7.328E-02.06320.069 4316.68240.74-.005718              5              2                    R  5      475663 5 9 5 5 1 8    13.0   11.0
 51 6213.531242 1.098E-27 2.509E-02.05610.060 2489.78310.73-.007401              4              1                    P 13      575663 7 9 5 5 1 8    25.0   27.0
 51 6215.637138 2.456E-31 7.507E-02.06180.068 4339.32740.75-.005818              5              2                    R  6      475663 5 9 5 5 1 8    15.0   13.0
 51 6216.769557 1.158E-25 5.014E-03.04710.050 1346.60080.67-.008304              3              0                    P 26      575663 7 9 5 5 1 8    51.0   53.0
 51 6218.568112 2.499E-31 7.670E-02.06060.066 4365.74430.75-.005922              5              2                    R  7      475663 5 9 5 5 1 8    17.0   15.0
 51 6218.589748 1.304E-27 2.551E-02.05690.062 2440.30620.74-.007296              4              1                    P 12      575663 7 9 5 5 1 8    23.0   25.0
 51 6221.392919 2.457E-31 7.823E-02.05950.065 4395.93220.75-.006030              5              2                    R  8      475663 5 9 5 5 1 8    19.0   17.0
 51 6223.192140 1.827E-25 5.085E-03.04770.051 1247.05920.67-.008250              3              0                    P 25      575663 7 9 5 5 1 8    49.0   51.0
 51 6223.545119 1.510E-27 2.595E-02.05770.063 2394.62790.75-.007179              4              1                    P 11      575663 7 9 5 5 1 8    21.0   23.0
 51 6224.111411 2.343E-31 7.969E-02.05860.064 4429.88980.75-.006144              5              2                    R  9      475663 5 9 5 5 1 8    21.0   19.0
 51 6226.723441 2.173E-31 8.110E-02.05770.063 4467.61580.75-.006262              5              2                    R 10      475663 5 9 5 5 1 8    23.0   21.0
 51 6228.397089 1.703E-27 2.642E-02.05860.064 2352.74990.75-.007049              4              1                    P 10      575663 7 9 5 5 1 8    19.0   21.0
 51 6229.228862 1.962E-31 8.247E-02.05690.062 4509.10880.74-.006383              5              2                    R 11      475663 5 9 5 5 1 8    25.0   23.0
 51 6229.513368 2.827E-25 5.158E-03.04830.051 1151.31500.67-.008194              3              0                    P 24      575663 7 9 5 5 1 8    47.0   49.0
 51 6231.627528 1.727E-31 8.381E-02.05610.060 4554.36700.73-.006508              5              2                    R 12      475663 5 9 5 5 1 8    27.0   25.0
 51 6233.145526 1.866E-27 2.693E-02.05950.065 2314.67390.75-.006901              4              1                    P  9      575663 7 9 5 5 1 8    17.0   19.0
 51 6233.919291 1.484E-31 8.515E-02.05530.059 4603.38890.72-.006635              5              2                    R 13      475663 5 9 5 5 1 8    29.0   27.0
 51 6235.733098 4.284E-25 5.233E-03.04900.052 1059.37180.67-.007600              3              0                    P 23      575663 7 9 5 5 1 2    45.0   47.0
