231 5557.571500 8.088E-29 5.527E-05.09940.723 1815.05550.830.000000        0 1 1 3        0 2 0 0                    R 16e     25555010 4 2 1 1 0   210.0  198.0
231 5557.676800 3.316E-27 4.202E-05.12131.053  756.54260.750.000000        0 6 2 1        0 1 1 0                    Q  5f     25555010 4 2 1 1 0    66.0   66.0
231 5557.759140 3.791E-27 4.433E-05.11691.118  774.36620.760.000000        0 6 2 1        0 1 1 0                    Q  6f     25555010 4 2 1 1 0    78.0   78.0
231 5557.862740 4.154E-27 4.657E-05.11321.161  795.15940.770.000000        0 6 2 1        0 1 1 0                    Q  7f     25555010 4 2 1 1 0    90.0   90.0
231 5557.880420 3.037E-27 3.845E-05.12131.053  756.31800.750.000000        0 6 2 1        0 1 1 0                    Q  5e     25555010 4 2 1 1 0    66.0   66.0
231 5557.882750 1.195E-29 6.411E-05.09390.236 2316.45250.790.000000        0 1 1 3        0 2 2 0                    R 24f     25552010 4 2 1 1 0   306.0  294.0
231 5557.990940 4.404E-27 4.891E-05.11021.183  818.92160.790.000000        0 6 2 1        0 1 1 0                    Q  8f     25555010 4 2 1 1 0   102.0  102.0
231 5558.031640 3.359E-27 3.922E-05.11691.118  774.05190.760.000000        0 6 2 1        0 1 1 0                    Q  6e     25555010 4 2 1 1 0    78.0   78.0
231 5558.147440 4.544E-27 5.141E-05.10761.185  845.65220.800.000000        0 6 2 1        0 1 1 0                    Q  9f     25555010 4 2 1 1 0   114.0  114.0
231 5558.206620 3.547E-27 3.969E-05.11321.161  794.74040.770.000000        0 6 2 1        0 1 1 0                    Q  7e     25555010 4 2 1 1 0    90.0   90.0
231 5558.336080 4.584E-27 5.422E-05.10561.169  875.35060.810.000000        0 6 2 1        0 1 1 0                    Q 10f     25555010 4 2 1 1 0   126.0  126.0
231 5558.404690 3.611E-27 4.000E-05.11021.183  818.38290.790.000000        0 6 2 1        0 1 1 0                    Q  8e     25555010 4 2 1 1 0   102.0  102.0
231 5558.426920 2.364E-28 3.199E-03.10171.030 2375.83720.840.000000        0 8 4 1        0 3 3 0                    R 12f     25555010 4 2 1 1 0   162.0  150.0
231 5558.431310 2.365E-28 3.200E-03.10171.030 2375.83460.840.000000        0 8 4 1        0 3 3 0                    R 12e     25555010 4 2 1 1 0   162.0  150.0
231 5558.506950 1.320E-25 4.230E-05.10561.169  133.01650.810.000000        0 8 0 0        0 0 0 0                    R  9e     25555010 4 2 1 1 0   126.0  114.0
231 5558.536662 2.964E-29 8.968E-03.10271.089 2999.28290.830.000000        0 3 1 3        0 1 1 1                    R 11e     25555010 4 2 1 1 0   150.0  138.0
231 5558.560830 4.609E-27 5.835E-05.10401.136  908.01600.820.000000        0 6 2 1        0 1 1 0                    Q 11f     25555010 4 2 1 1 0   138.0  138.0
232 5558.561509 7.933E-28 8.838E-04.08910.192 1086.75790.790.000000       -2-2-2-2        0 0 0 0                    R 27e     14552012 7 2 1 1 0   684.0  660.0
231 5558.625070 3.566E-27 4.022E-05.10761.185  844.97900.800.000000        0 6 2 1        0 1 1 0                    Q  9e     25555010 4 2 1 1 0   114.0  114.0
231 5558.766882 6.305E-28 6.223E-03.12131.053 2126.20720.750.000000        0 2 0 3        0 0 0 1                    R  4e     25555010 4 2 1 1 0    66.0   54.0
231 5558.825550 3.962E-27 5.487E-05.10271.089  943.64770.830.000000        0 6 2 1        0 1 1 0                    Q 12f     25555010 4 2 1 1 0   150.0  150.0
231 5558.831280 2.364E-27 8.028E-05.09860.562 1219.67520.810.000000        0 9 1 0        0 1 1 0                    R 18f     25555010 4 2 1 1 0   234.0  222.0
231 5558.866910 3.427E-27 4.038E-05.10561.169  874.52800.810.000000        0 6 2 1        0 1 1 0                    Q 10e     25555010 4 2 1 1 0   126.0  126.0
231 5558.928990 1.351E-29 5.472E-03.10090.961 3089.75840.840.000000        0 6 2 2        0 4 2 0                    R 13f     25555010 4 2 1 1 0   174.0  162.0
232 5558.963899 1.494E-28 7.826E-06.09980.805  345.34460.830.000000       -2-2-2-2        0 0 0 0                    R 15e     14555012 7 2 1 1 0   396.0  372.0
231 5559.042050 1.872E-28 6.120E-05.11321.161 1488.90180.770.000000        0 7 3 1        0 2 2 0                    R  6e     25555010 4 2 1 1 0    90.0   78.0
231 5559.049770 1.880E-28 6.145E-05.11321.161 1488.89540.770.000000        0 7 3 1        0 2 2 0                    R  6f     25555010 4 2 1 1 0    90.0   78.0
231 5559.129250 3.216E-27 4.052E-05.10401.136  907.02920.820.000000        0 6 2 1        0 1 1 0                    Q 11e     25555010 4 2 1 1 0   138.0  138.0
231 5559.133800 3.873E-27 5.993E-05.10171.030  982.24470.840.000000        0 6 2 1        0 1 1 0                    Q 13f     25555010 4 2 1 1 0   162.0  162.0
231 5559.142570 5.042E-28 5.377E-03.10271.089 2311.01180.830.000000        0 5 1 2        0 3 1 0                    R 11f     25555010 4 2 1 1 0   150.0  138.0
231 5559.187415 1.650E-29 6.201E-03.10090.961 3074.34900.840.000000        0 6 0 2        0 4 0 0                    R 13e     25555010 4 2 1 1 0   174.0  162.0
231 5559.219000 7.179E-29 5.932E-05.09900.641 1865.44100.820.000000        0 1 1 3        0 2 0 0                    R 17e     25555010 4 2 1 1 0   222.0  210.0
231 5559.411020 2.951E-27 4.065E-05.10271.089  942.48180.830.000000        0 6 2 1        0 1 1 0                    Q 12e     25555010 4 2 1 1 0   150.0  150.0
231 5559.422180 2.217E-27 6.056E-05.09900.641 1163.98390.820.000000        0 0 0 3        0 1 1 0                    R 17e     25555010 4 2 1 1 0   222.0  210.0
231 5559.488740 3.567E-27 6.290E-05.10090.961 1023.80620.840.000000        0 6 2 1        0 1 1 0                    Q 14f     25555010 4 2 1 1 0   174.0  174.0
